date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,time_day,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_200_normalized,smart_254_normalized,end_date,vida_util_days,vida_util_restante,vida_util_restante_int
2016-01-01,JK11A8B9J90WMF,Hitachi HDS722020ALA330,9.88328391275e-312,0,100,100.0,118,100,100,100.0,1791.8333333333333,100.0,100.0,153.0,,100.0,100,100,,,2016-04-29,1910.7916666666667,119 days 00:00:00.000000000,119.0
2016-01-01,Z304HT8H,ST4000DM000,1.976651427858e-311,0,119,,99,100,75,,42.583333333333336,100.0,97.0,28.0,,,100,100,,,2016-01-07,48.583333333333336,6 days 00:00:00.000000000,6.0
2016-01-01,Z300GPY9,ST4000DM000,1.976651427858e-311,0,112,,93,100,87,,901.8333333333334,100.0,98.0,22.0,,,100,100,,,2016-01-02,902.8333333333334,1 days 00:00:00.000000000,1.0
2016-01-01,Z3029FG7,ST4000DM000,1.976651427858e-311,0,115,,91,100,86,,353.0,100.0,95.0,24.0,,,100,100,,,2016-01-13,365.0416666666667,12 days 00:00:00.000000000,12.0
2016-01-01,Z3015CLH,ST4000DM000,1.976651427858e-311,0,117,,91,100,84,,732.625,100.0,83.0,19.0,,,100,100,,,2016-04-18,840.5416666666666,108 days 00:00:00.000000000,108.0
2016-01-01,Z302511Z,ST4000DM000,1.976651427858e-311,0,117,,93,100,87,,443.0833333333333,100.0,88.0,19.0,,,100,100,,,2016-01-17,459.0833333333333,16 days 00:00:00.000000000,16.0
2016-01-01,Z300W8D9,ST4000DM000,1.976651427858e-311,0,119,,91,100,85,,784.1666666666666,100.0,90.0,21.0,,,100,100,,,2016-04-11,885.125,101 days 00:00:00.000000000,101.0
2016-01-01,WD-WCAV3E974559,WDC WD800AAJS,3.95382761547e-313,0,200,,133,200,200,,1386.2083333333333,200.0,200.0,119.0,,200.0,200,200,200.0,,2016-04-25,1500.9583333333333,115 days 00:00:00.000000000,115.0
2016-01-01,Z300GZ2B,ST4000DM000,1.976651427858e-311,0,113,,92,100,88,,903.1666666666666,100.0,96.0,27.0,,,100,100,,,2016-04-12,1005.125,102 days 00:00:00.000000000,102.0
2016-01-01,W0Q1LBWJ,ST320LT007,1.581370405447e-312,0,112,,98,100,87,,776.25,100.0,62.0,28.0,52.0,,100,100,,100.0,2016-01-18,793.4166666666666,17 days 00:00:00.000000000,17.0
2016-01-01,Z300GQ25,ST4000DM000,1.976651427858e-311,0,113,,95,100,87,,871.7083333333334,100.0,98.0,21.0,,,100,100,,,2016-04-25,986.625,115 days 00:00:00.000000000,115.0
2016-01-01,Z30305D5,ST4000DM000,1.976651427858e-311,0,114,,98,100,81,,94.54166666666667,100.0,99.0,23.0,,,100,100,,,2016-04-12,196.5,102 days 00:00:00.000000000,102.0
2016-01-01,W300T1YZ,ST4000DM000,1.976651427858e-311,0,117,,95,100,84,,713.5416666666666,100.0,97.0,16.0,,,100,100,,,2016-04-04,807.5416666666666,94 days 00:00:00.000000000,94.0
2016-01-01,Z300KCMM,ST4000DM000,1.976651427858e-311,0,117,,91,100,89,,844.625,100.0,54.0,23.0,,,100,100,,,2016-01-15,858.625,14 days 00:00:00.000000000,14.0
2016-01-01,Z30111VL,ST4000DM000,1.976651427858e-311,0,114,,92,100,84,,708.4583333333334,100.0,97.0,26.0,,,100,100,,,2016-04-11,809.4166666666666,101 days 00:00:00.000000000,101.0
2016-01-01,S300Z7CZ,ST4000DM000,1.976651427858e-311,0,115,,97,100,81,,166.29166666666666,100.0,81.0,35.0,,,100,100,,,2016-04-19,275.2916666666667,109 days 00:00:00.000000000,109.0
2016-01-01,MJ1311YNG3AUYA,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,95,100.0,125,100,100,100.0,1539.625,99.0,99.0,214.0,,100.0,100,100,,,2016-01-07,1545.625,6 days 00:00:00.000000000,6.0
2016-01-01,W30068RN,ST4000DM000,1.976651427858e-311,0,118,,92,100,86,,870.4583333333334,100.0,49.0,21.0,,,100,100,,,2016-01-10,879.5,9 days 00:00:00.000000000,9.0
2016-01-01,Z302G5F6,ST4000DM000,1.976651427858e-311,0,114,,92,100,85,,300.4166666666667,100.0,95.0,31.0,,,100,100,,,2016-01-13,312.4166666666667,12 days 00:00:00.000000000,12.0
2016-01-01,PL1311LAG3D6WH,Hitachi HDS5C4040ALE630,1.976651427858e-311,0,94,134.0,123,100,100,113.0,964.4166666666666,100.0,100.0,222.0,,100.0,100,100,,,2016-01-21,984.4166666666666,20 days 00:00:00.000000000,20.0
2016-01-01,Z305AT4W,ST4000DM000,1.976651427858e-311,0,114,,97,100,66,,23.083333333333332,100.0,91.0,27.0,,,100,100,,,2016-04-16,129.04166666666666,106 days 00:00:00.000000000,106.0
2016-01-01,W300H36V,ST4000DM000,1.976651427858e-311,0,117,,92,100,87,,789.25,100.0,98.0,20.0,,,100,100,,,2016-01-08,796.25,7 days 00:00:00.000000000,7.0
2016-01-01,9VY8TC9H,ST3160318AS,7.9071197618e-313,0,117,,97,100,87,,1866.2083333333333,,,28.0,46.0,,100,100,,,2016-04-18,1973.4166666666667,108 days 00:00:00.000000000,108.0
2016-01-01,Z300ZSJQ,ST4000DM000,1.976651427858e-311,0,109,,91,100,84,,695.2916666666666,100.0,96.0,22.0,,,100,100,,,2016-04-01,786.25,91 days 00:00:00.000000000,91.0
2016-01-01,Z3025D48,ST4000DM000,1.976651427858e-311,0,119,,92,100,87,,389.4166666666667,100.0,99.0,33.0,,,100,100,,,2016-04-11,490.3333333333333,101 days 00:00:00.000000000,101.0
2016-01-01,Z300GZDQ,ST4000DM000,1.976651427858e-311,0,118,,95,100,87,,871.7083333333334,100.0,98.0,18.0,,,100,100,,,2016-04-23,984.625,113 days 00:00:00.000000000,113.0
2016-01-01,Z3041L93,ST4000DM000,1.976651427858e-311,0,115,,95,100,82,,106.54166666666667,100.0,99.0,29.0,,,100,100,,,2016-01-10,115.54166666666667,9 days 00:00:00.000000000,9.0
2016-01-01,Z304KCS4,ST4000DM000,1.976651427858e-311,0,115,,96,100,77,,56.541666666666664,100.0,95.0,33.0,,,100,100,,,2016-04-24,170.5,114 days 00:00:00.000000000,114.0
2016-01-01,WD-WCC4MKDL77ZK,WDC WD20EFRX,9.88328391275e-312,1,200,,100,200,100,,366.9583333333333,200.0,200.0,120.0,,200.0,200,100,100.0,,2016-01-01,366.9583333333333,0 days 00:00:00.000000000,0.0
2016-01-01,W0Q6KWV8,ST320LT007,1.581370405447e-312,0,118,,98,95,81,,1125.0833333333333,100.0,36.0,23.0,51.0,,100,100,,100.0,2016-04-28,1244.3333333333333,118 days 00:00:00.000000000,118.0
2016-01-01,Z302AKS1,ST4000DM000,1.976651427858e-311,0,117,,91,100,84,,328.4583333333333,100.0,78.0,22.0,,,100,100,,,2016-01-20,347.4166666666667,19 days 00:00:00.000000000,19.0
2016-01-01,WD-WXA1AA382552,WDC WD3200BEKX,1.581370405447e-312,0,200,,167,200,100,,94.58333333333333,200.0,193.0,114.0,,200.0,200,100,100.0,,2016-04-21,205.41666666666666,111 days 00:00:00.000000000,111.0
2016-01-01,JK1101B9GEJEUF,Hitachi HDS722020ALA330,9.88328391275e-312,0,96,100.0,113,100,100,100.0,1869.125,100.0,100.0,200.0,,100.0,100,100,,,2016-04-21,1980.0833333333333,111 days 00:00:00.000000000,111.0
2016-01-01,Z300KHN0,ST4000DM000,1.976651427858e-311,1,110,,91,100,85,,801.9166666666666,100.0,93.0,24.0,,,100,100,,,2016-01-01,801.9166666666666,0 days 00:00:00.000000000,0.0
2016-01-01,JK11A8B9J0U7DF,Hitachi HDS722020ALA330,9.88328391275e-312,0,99,100.0,117,100,100,100.0,1840.25,99.0,99.0,240.0,,100.0,100,100,,,2016-01-17,1856.25,16 days 00:00:00.000000000,16.0
2016-01-01,Z300T6ZF,ST4000DM000,1.976651427858e-311,0,109,,91,100,80,,723.2916666666666,100.0,86.0,28.0,,,100,100,,,2016-04-27,840.25,117 days 00:00:00.000000000,117.0
2016-01-01,WD-WCC4N0968565,WDC WD30EFRX,1.4824899095664e-311,0,200,,100,200,100,,206.33333333333334,200.0,200.0,125.0,,200.0,200,100,100.0,,2016-04-25,321.1666666666667,115 days 00:00:00.000000000,115.0
2016-01-01,W3006BC2,ST4000DM000,1.976651427858e-311,0,119,,91,100,81,,723.9166666666666,100.0,86.0,21.0,,,100,100,,,2016-04-07,820.875,97 days 00:00:00.000000000,97.0
2016-01-01,Z30262V9,ST4000DM000,1.976651427858e-311,0,118,,97,100,87,,442.3333333333333,100.0,100.0,23.0,,,100,100,,,2016-04-15,547.2916666666666,105 days 00:00:00.000000000,105.0
2016-01-01,Z302AYPB,ST4000DM000,1.976651427858e-311,0,120,,98,100,81,,167.29166666666666,100.0,81.0,24.0,,,100,100,,,2016-04-20,277.25,110 days 00:00:00.000000000,110.0
2016-01-01,JK11E1B9K0M03T,Hitachi HDS722020ALA330,9.88328391275e-312,0,100,132.0,100,100,100,119.0,822.375,100.0,100.0,240.0,,100.0,100,100,,,2016-04-18,930.2916666666666,108 days 00:00:00.000000000,108.0
2016-01-01,Z300X5WP,ST4000DM000,1.976651427858e-311,0,112,,92,100,85,,748.0,100.0,85.0,21.0,,,100,100,,,2016-04-11,848.9583333333334,101 days 00:00:00.000000000,101.0
2016-01-01,Z300WGAW,ST4000DM000,1.976651427858e-311,0,116,,92,100,86,,747.7916666666666,100.0,100.0,26.0,,,100,100,,,2016-01-06,752.8333333333334,5 days 00:00:00.000000000,5.0
2016-01-01,Z300NK93,ST4000DM000,1.976651427858e-311,0,115,,92,100,87,,401.4583333333333,100.0,89.0,24.0,,,100,100,,,2016-01-07,407.4583333333333,6 days 00:00:00.000000000,6.0
2016-01-01,PL1311LAG2B1NH,Hitachi HDS5C4040ALE630,1.976651427858e-311,0,100,134.0,124,97,100,113.0,1059.8333333333333,100.0,100.0,253.0,,93.0,100,100,,,2016-04-01,1150.7916666666667,91 days 00:00:00.000000000,91.0
2016-01-01,Z3015VNR,ST4000DM000,1.976651427858e-311,0,108,,91,100,80,,673.2916666666666,100.0,86.0,23.0,,,100,100,,,2016-04-02,765.2083333333334,92 days 00:00:00.000000000,92.0
